1827,idle,仕事をしていない、怠惰な、を一時的に休止させる、をアイドリングさせる
1828,indifferent,無関心な、どうでもよい
1829,effcient,効率的な
1830,punctual,時間を厳守する
1831,prompt,即座の、速やかな、を促す、を引き起こす
1832,precise,正確な、精密な、まさにその
1833,exact,正確な、厳密な
1834,odd,奇妙な、奇数の
1835,unusual,普通ではない、異常な、（美しさ・才能が）並外れた
1836,peculiar,妙な、変わった
1837,alien,異質な、なじみがない、外国の、（居留）外国人、地球外生命体
1838,irregular,不規則な、不揃いの、不法な
1839,absurd,不合理な、ばかげた
1840,silly,愚かな、くだらない
1841,crucial,決定的な、非常に重要な
1842,focus,…を～に集中させる、～に集中する、～に焦点を合わせる、中心、焦点、集中
1843,dim,薄暗い、かすかな
1844,visible,目に見える、明らかな、人目につく
1845,vison,視力、洞察力、展望、幻覚
1846,insight,洞察（力）、見抜くこと
1847,element,要素、元素、初歩
1848,factor,要因、要素
1849,aspect,面、側面、様相、外観
1850,detail,細部、詳細、を列挙する、を詳しく調べる
1851,portion,部分、分、分け前
1852,section,部分、（新聞の）欄、（文章の）節、（会社などの）部門、課
1853,feature,特徴、顔立ち、特集（記事）、を特徴にする、を特集する
1854,substitute,代わり（のもの）、代理人
1855,various,様々な、多様な
1856,acquaintance,知り合い、面識、詳しい知識
1857,companion,仲間、友達、連れ、付き添い
1858,crew,乗組員、乗務員
1859,consent,承諾、同意
1860,affection,愛情、好意
1861,community,地域社会、生活共同体
1862,mutual,相互の、共同の
1863,adequate,十分な、適切な
1864,sufficient,十分な
1865,appropriate,適切な、ふさわしい
1866,medium,中間の、中くらいの、媒体、表現方法、手段
1867,moderate,適度の、ほどほどの、穏健な
1868,steady,安定した、確実な
1869,stable,安定した、しっかりした
1870,mere,ほんの、ただの
1871,slight,軽い、わずかな、細身の、やせた
1872,scale,体重計、図り、規模、程度
1873,degree,（温度・角度の）度、程度、学位
1874,fierce,獰猛な、激しい
1875,hostile,敵意のある
1876,passion,劇場、情熱
1877,violence,暴力、激しさ
1878,temper,短気、怒り、かんしゃく、機嫌、気性
1879,upset,を動揺させる、をひっくり返す、気が動転した、動転、転覆
1880,urge,<人>に～するように強く促す
1881,impulse,（心の）衝動、出来心
1882,harsh,厳しい、手厳しい
1883,tackle,取り組む、議論を戦わす、つかむ
1884,worthy,値する、ふさわしい
1885,merit,長所、利点
1886,talent,才能
1887,fault,欠点、短所、責任、過失
1888,mental,精神の、知的な
1889,psycology,心理学、心理（状態）
1890,emotion,（強い）感情、情緒、感動
1891,conscious,自覚して、意識して、意識のある
1892,fancy,～したいと思う、を心に描く、高級な、奇抜な、好み、空想、思い付き
1893,phusical,身体の、物質、物理学の
1894,naked,裸の、赤裸々な
1895,therapy,治療（法）、心理療法、癒し
1896,blush,顔を赤らめる、恥じる、赤面
1897,frequent,頻繁な、しばしばの
1898,apt,～しがちである、～に適している、頭の良い
1899,lean,傾く、寄りかかる、傾向がある
1900,tend,～しがちである、～する傾向にある
1901,trend,動向、傾向
1902,fate,運命、宿命
1903,fortune,幸運、財産、大金、富
1904,fortunate,幸運な、幸せな
1905,incident,（付随的な）出来事、（暴動などの）事件
1906,inevitable,避けられない、必然の
1907,probable,多分…だろう
1908,prosepect,見込み、予想、眺め、景色
1909,consequence,結果、重要さ
1910,burden,重荷、負担、荷物、に重荷を負わせる
1911,conflict,対立、衝突、紛争、葛藤
1912,contrary,反対、逆、反対の、逆の
1913,pressure,圧力、教養、重圧、苦境
1914,hazard,聞け尿素、危険
1915,recession,不況、景気後退、後退
1916,notion,考え、概念、意見、意向
1917,concept,概要、着想
1918,myth,間違った通念、俗説、神話
1919,clue,手がかり、糸口
1920,conscience,良心
1921,explanation,説明、弁解
1922,rational,理性的な、合理的な
1923,defect,欠陥、欠点
1924,doubtful,疑わしい、疑いを抱いている
1925,obstacle,障害（物）
1926,threat,脅威、脅し、（悪いことの）きざし
1927,risk,（自らを冒す）危険
1928,solution,解決策、溶解、溶液
1929,overcome,に打ち勝つ、を克服する
1930,succeed,に成功する、を継承する、の後にくる
1931,extent,範囲、程度、広さ、大きさ
1932,parallel,平行の、平行して、類似点、平行線、と並行する、に匹敵する
1933,angle,角度、角、観点、斜めに角ばった
1934,bilion,10億
1935,tough,困難な、厳しい、たくましい、頑丈な
1936,delicate,微細な、繊細な、かよわい
1937,presence,存在すること、出席
1938,instance,場合
1939,porcelain,磁気、磁器製品
1940,elderly,年配の、高齢者
1941,fellow,男、やつ、特別研究員、同僚の、同輩の
1942,household,家族、世帯
1943,immigrant,移民
1944,resident,住民、居住者
1945,gender,性、ジェンダー
1946,status,地位、身分
1947,strive,努力する
1948,sustain,を持続させる、を維持する、を破る、を負う
1949,stick,棒切れ、杖、をくっつける、くっつく、を突き刺す、突き出る
1950,function,機能、働き、職務、機能する
1951,superficial,表面的な、浅薄な
1952,reward,ほうび、報酬、礼金、お金
1953,remarkable,注目すべき、非凡な
1954,resource,資源、（臨機応変の）資質、手段
1955,specific,明確な、特定の
1956,aware,気づいている、認識している
1957,assigin,を割り当てる、を任命する、を選定する、を配属する
1958,deserve,（賞・罰など）を受けるに値する、にふさわしい
1959,possess,を所有する、（悪霊などが）にとりつく
1960,exceed,を超える、に勝る
1961,freeze,凍る、を凍らせる、凍える
1962,bathe,を入浴させる、入浴する、を水にひたす
1963,corporation,企業、法人
1964,colleague,同僚、仲間
1965,interaction,交流、相互作用、相互影響
1966,agent,代理人、代理店、捜査官
1967,executive,管理職、重役、重役の、行政上の
1968,cooperation,協力、援助
1969,cope,をうまく処理する
1970,formation,編成、構造、配列
1971,frankly,率直に、率直な
1972,thus,したがって、それゆえ
1973,somehow,何とかして、どうにかして、どことなく
1974,altogether,まったく、完全に、全部で
1975,moreover,そのうえ、さらに
1976,nevertheless,それにもかかわらず
1977,regardless,それでも
1978,immune,免疫のある
1979,infection,感染症、伝染病、感染、伝染
1980,nutrition,栄養摂取、栄養学
1981,calorie,カロリー
1982,obesity,肥満
1983,surgery,（外科）手術、外科
1984,sneeze,くしゃみをする、くしゃみ
1985,renew,更新する、再び新しくする、復活させる
1986,alter,を変える、変わる、を作り直す
1987,transform,を変形させる、を一変させる
1988,inspire,を奮起させる、を刺激する、を抱かせる
1989,modify,を修正する、を変更する
1990,tie,を結びつける、を結ぶ、同点になる、ネクタイ
1991,vast,膨大な、広大な
1992,enormous,巨大な、莫大な
1993,numerous,多数の、たくさんの
1994,approximately,およそ、役
1995,somewhat,いくらか、若干
1996,absolute,絶対的な、完全な
1997,entire,全体の、完全な
1998,extreme,極度の、過酷な、過激な、極端（な状態）
1999,ultimate,最終的な、究極の
2000,maximum,最大限の、最大限、最高点
2001,supreme,最高の、至高の
2002,genuine,心からの、真の、本物の
2003,utility,公共料金（電気・水道などの）公益サービス
2004,deposit,を預金する、を置く、（銀行）預金、手付金、保証金
2005,withdraw,（お金）を引き出す、を引っ込める、手を引く
2006,questionnaire,アンケート用紙
2007,detergent,洗剤
2008,dye,染料
2009,appliance,（家庭用）電気器具、機器
2010,antibiotic,抗生物質
2011,diagnosis,診断
2012,diabetes,糖尿病
2013,pneumonia,肺炎
2014,dementia,認知症
2015,chronic,慢性の
2016,epidemic,（病気の）流行
2017,asthma,ぜんそく
2018,heal,を癒す、を治す、癒える、治る
2019,evacuation,避難
2020,hygiene,清潔、衛生
2021,devastating,壊滅的な
2022,donation,寄付、寄付金
2023,blackout,停電、気絶
2024,infrastructure,インフラ、構造基盤
2025,website,ホームページ、ウェブサイト
2026,browse,を閲覧する、検索する
2027,hack,（コンピュータ・システムなどに）不法侵入する
2028,copyright,著作権、版権
2029,text,文庫、教科書
2030,revenue,収益、収入、歳入
2031,deficit,赤字
2032,fluctuation,変動
2033,launch,（新製品）を販売する、（事業を）起こす
2034,estate,地所、財産
2035,bureaucratic,官僚的な
2036,diplomacy,外交
2037,enforce,（法律など）を遵守させる、を施工する
2038,fiscal,財政上の、国庫収入の
2039,regime,政権、体制、制度
2040,census,国勢調査
2041,corruption,汚職、買収
2042,administration,政権、政府、管理、運営
2043,subsidy,補助金、助成金
2044,bribe,わいろ
2045,session,会議、会合、開会、開廷、活動、講習会
2046,refugee,難民
2047,tolerance,寛容、寛大
2048,transition,移行、転換、変化
2049,negotiate,交渉する
2050,controversial,物議をかもす、議論を引き起こす
2051,sanction,制裁
2052,boundary,境界（線）、限界、限度
2053,mission,任務、使命、使節団、伝道、布教
2054,refom,改革、改正
2055,drat,草案、草稿、下書き、起草する
2056,legitimate,合法の、正当な
2057,valid,有効な、妥当な
2058,drastic,抜本的な、徹底的な
2059,branch,支店、枝
2060,masterplece,傑作、名作、代表作
2061,opponent,相手、敵対者、反対者
2062,passage,道、通路、通行、一節
2063,scheme,計画、たくらみ、体系、組織
2064,shed,小屋、物置
2065,shelf,柵
2066,ease,容易さ、楽、安心、和らげる、緩める
2067,gross,総体の、全体の、総体、総計
2068,initial,初めの、初期の、語頭の、頭文字、イニシャル
2069,acute,鋭い、先のとがった、激しい
2070,casual,くだけた、気まぐれな、思い付きの、さりげない
2071,ethical,倫理的な、道徳上の
2072,indispensable,欠かせない、避けることのできない
2073,worthwhile,価値のある、やりがいのある
